names,projected,actual,position
49ers D/ST,3.9,0.0,DST
A.J. Green,12.6,,
Aaron Rodgers,17.5,16.0,QB
Adam Humphries,3.1,,
Adam Thielen,2.8,,
Adam Vinatieri,7.9,11.0,K
Adrian Peterson,12.2,,
Alex Henery,,0.0,K
Alex Smith,13.5,0.0,TE
Alfred Morris,2.9,6.0,RB
Allen Hurns,6.9,,
Allen Robinson,11.0,,
Alshon Jeffery,9.7,9.0,K
Amari Cooper,10.0,7.0,K
Ameer Abdullah,9.4,3.0,RB
Andre Holmes,,6.0,WR
Andre Johnson,2.9,6.0,WR
Andrew Franks,6.4,6.0,K
Andrew Hawkins,3.9,,
Andrew Luck,14.2,9.0,K
Andy Dalton,15.9,18.0,QB
Anquan Boldin,5.2,10.0,K
Anthony Fasano,,0.0,TE
Antonio Brown,13.8,,
Antonio Gates,7.7,7.0,K
Arian Foster,8.3,,
Austin Hooper,,8.0,K
Austin Seferian-Jenkins,2.8,1.0,TE
Bears D/ST,7.0,9.0,K
Ben Roethlisberger,15.0,19.0,QB
Bengals D/ST,6.1,4.0,DST
Benjamin Watson,,0.0,TE
Bilal Powell,5.1,,
Bills D/ST,6.0,1.0,DST
Billy Cundiff,,0.0,K
Blaine Gabbert,11.3,20.0,QB
Blair Walsh,8.7,6.0,K
Blake Bortles,16.2,18.0,QB
Brandin Cooks,9.6,6.0,WR
Brandon Bogotay,,0.0,K
Brandon LaFell,5.3,,
Brandon Marshall,9.9,10.0,K
Brandon McManus,8.3,14.0,K
Braxton Miller,3.9,,
Brent Celek,4.0,,
Breshad Perriman,2.7,,
Brian Hoyer,,3.0,QB
Brian Quick,2.7,,
Brock Osweiler,14.0,10.0,K
Broncos D/ST,7.1,23.0,DST
Browns D/ST,4.6,3.0,DST
Bruce Gradkowski,,0.0,QB
Buccaneers D/ST,6.4,-5.0,DST
C.J. Anderson,12.7,14.0,K
C.J. Uzomah,4.3,,
Cairo Santos,6.9,15.0,K
Caleb Sturgis,6.5,13.0,K
Cam Newton,21.6,29.0,QB
Cameron Brate,3.0,1.0,TE
Cardinals D/ST,7.3,22.0,DST
Carlos Hyde,8.3,,
Carson Palmer,16.7,24.0,QB
Carson Wentz,13.1,12.0,K
Case Keenum,7.6,9.0,K
Chad Henne,,0.0,QB
Chandler Catanzaro,8.6,11.0,K
Charcandrick West,3.2,6.0,RB
Chargers D/ST,7.3,8.0,K
Charles Clay,4.5,2.0,TE
Charles Johnson,4.1,,
Charles Sims,6.1,,
Charlie Whitehurst,,0.0,QB
Chiefs D/ST,6.4,5.0,DST
Chris Boswell,8.4,7.0,K
Chris Conley,3.0,,
Chris Hogan,6.2,,
Chris Johnson,3.0,11.0,K
Chris Thompson,5.2,5.0,RB
Christine Michael,4.6,6.0,RB
Clive Walford,4.9,11.0,K
Coby Fleener,6.3,2.0,TE
Cody Parkey,,0.0,K
Cole Beasley,2.9,7.0,K
Colts D/ST,6.9,-1.0,DST
Connor Barth,7.6,1.0,K
Corey Coleman,6.8,22.0,WR
Corey Grant,,7.0,K
Cowboys D/ST,4.5,1.0,DST
Crockett Gillmore,,2.0,TE
Dak Prescott,13.5,17.0,QB
Dan Bailey,7.7,9.0,K
Dan Carpenter,7.7,7.0,K
Dan Orlovsky,,0.0,QB
Danny Amendola,,14.0,WR
Danny Woodhead,9.8,2.0,RB
Darren Fells,,3.0,TE
Darren Sproles,4.5,4.0,RB
Davante Adams,4.5,,
David Johnson,14.5,13.0,K
DeAndre Hopkins,11.0,17.0,WR
DeAndre Washington,,4.0,RB
DeAngelo Williams,13.0,18.0,RB
DeMarco Murray,10.9,13.0,K
DeSean Jackson,8.8,,
DeVante Parker,6.5,10.0,K
Delanie Walker,6.9,14.0,TE
Demaryius Thomas,8.7,11.0,K
Dennis Pitta,5.5,10.0,K
Derek Anderson,,0.0,QB
Derek Carr,14.9,24.0,QB
Derrick Henry,4.7,4.0,RB
Devin Funchess,4.9,7.0,K
Devonta Freeman,9.9,9.0,K
Devontae Booker,4.8,4.0,RB
Dez Bryant,8.0,10.0,K
Dion Sims,,2.0,TE
Dolphins D/ST,5.8,-2.0,DST
Donte Moncrief,7.2,,
Dontrelle Inman,4.4,,
Dorial Green-Beckham,2.9,,
Doug Baldwin,7.5,,
Doug Martin,8.9,,
Drew Brees,17.7,14.0,QB
Drew Stanton,,0.0,QB
Duke Johnson Jr.,5.6,5.0,RB
Dustin Hopkins,7.9,11.0,K
Dwayne Allen,4.8,2.0,TE
Dwayne Washington,,3.0,RB
Eagles D/ST,5.4,12.0,K
Eddie Lacy,9.1,5.0,RB
Eddie Royal,3.0,11.0,K
Eli Manning,18.5,12.0,K
Eli Rogers,5.6,,
Emmanuel Sanders,7.9,,
Eric Decker,9.0,18.0,WR
Eric Ebron,5.8,5.0,TE
Ezekiel Elliott,9.8,12.0,K
Falcons D/ST,6.0,-5.0,DST
Fozzy Whittaker,3.2,11.0,K
Frank Gore,6.7,11.0,K
Garrett Celek,2.8,1.0,TE
Garrett Hartley,,0.0,K
Gary Barnidge,7.2,3.0,TE
Geoff Swaim,,2.0,TE
Giants D/ST,3.5,15.0,DST
Giovani Bernard,6.7,15.0,RB
Golden Tate,8.0,,
Graham Gano,8.8,18.0,K
Greg Olsen,8.4,18.0,TE
Greg Salas,,14.0,K
Greg Zuerlein,5.3,10.0,K
Harry Douglas,4.0,,
Isaiah Crowell,8.5,20.0,RB
Jack Doyle,,3.0,TE
Jacob Tamme,4.1,13.0,K
Jacoby Brissett,,4.0,QB
Jaguars D/ST,6.1,1.0,DST
Jameis Winston,14.8,3.0,QB
James Starks,3.9,,
James White,5.5,,
Jamison Crowder,4.3,9.0,K
Jamize Olawale,,3.0,RB
Jared Cook,3.3,3.0,TE
Jaron Brown,,13.0,K
Jarvis Landry,8.0,11.0,K
Jason Myers,8.0,1.0,K
Jason Witten,5.8,5.0,TE
Jay Cutler,12.9,2.0,QB
Jay Feely,,0.0,K
Jeremy Hill,7.5,5.0,RB
Jeremy Kerley,5.1,,
